date,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,home_pen_score,away_id,away_score,away_name,away_long_name,away_pen_score,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_status_aggregated_str,match_status_awarded,match_time_ts,match_tv,internal_rank,live_rank,simple_league,parent_league_id,is_group,group_name,parent_league_name
2021-11-06,GER,54,54,1. Bundesliga,3624436,54,06.11.2021 15:30,8721,1,Wolfsburg,Wolfsburg,,8406,0,Augsburg,Augsburg,,,6,11,TRUE,TRUE,FALSE,1 - 0,"Nov 6, 2021",6. Nov.,FT,Full-Time,,,,1636191000000,,20,100,FALSE,,,,
2021-11-06,GER,54,54,1. Bundesliga,3624437,54,06.11.2021 18:30,178475,2,RB Leipzig,RB Leipzig,,9789,1,Dortmund,Borussia Dortmund,,,6,11,TRUE,TRUE,FALSE,2 - 1,"Nov 6, 2021",6. Nov.,FT,Full-Time,,,,1636201800000,,20,100,FALSE,,,,
2021-11-07,GER,54,54,1. Bundesliga,3624433,54,07.11.2021 15:30,8177,1,Hertha BSC,Hertha BSC,,8178,1,Leverkusen,Bayer Leverkusen,,,6,11,TRUE,TRUE,FALSE,1 - 1,"Nov 7, 2021",7. Nov.,FT,Full-Time,,,,1636273800000,,20,100,FALSE,,,,
2021-11-07,GER,54,54,1. Bundesliga,3624432,54,07.11.2021 17:30,8722,2,Köln,1. FC Köln,,8149,2,Union Berlin,Union Berlin,,,6,11,TRUE,TRUE,FALSE,2 - 2,"Nov 7, 2021",7. Nov.,FT,Full-Time,,,,1636281000000,,20,100,FALSE,,,,
2021-11-07,GER,54,54,1. Bundesliga,3624430,54,07.11.2021 19:30,8357,1,Greuther Fürth,Greuther Fürth,,9810,2,Frankfurt,Eintracht Frankfurt,,,6,11,TRUE,TRUE,FALSE,1 - 2,"Nov 7, 2021",7. Nov.,FT,Full-Time,,,,1636288200000,,20,100,FALSE,,,,
2021-11-19,GER,54,54,1. Bundesliga,3624440,54,19.11.2021 20:30,8406,2,Augsburg,Augsburg,,9823,1,Bayern München,Bayern München,,,6,12,TRUE,TRUE,FALSE,2 - 1,"Nov 19, 2021",19. Nov.,FT,Full-Time,,,,1637328600000,,20,100,FALSE,,,,
2021-11-20,GER,54,54,1. Bundesliga,3624439,54,20.11.2021 15:30,9912,2,Arminia Bielefeld,Arminia Bielefeld,,8721,2,Wolfsburg,Wolfsburg,,,6,12,TRUE,TRUE,FALSE,2 - 2,"Nov 20, 2021",20. Nov.,FT,Full-Time,,,,1637397000000,,20,100,FALSE,,,,
2021-11-20,GER,54,54,1. Bundesliga,3624446,54,20.11.2021 15:30,8178,1,Leverkusen,Bayer Leverkusen,,9911,0,Bochum,Bochum,,,6,12,TRUE,TRUE,FALSE,1 - 0,"Nov 20, 2021",20. Nov.,FT,Full-Time,,,,1637397000000,,20,100,FALSE,,,,
2021-11-20,GER,54,54,1. Bundesliga,3624447,54,20.11.2021 15:30,9789,2,Dortmund,Borussia Dortmund,,10269,1,VfB Stuttgart,VfB Stuttgart,,,6,12,TRUE,TRUE,FALSE,2 - 1,"Nov 20, 2021",20. Nov.,FT,Full-Time,,,,1637397000000,,20,100,FALSE,,,,
2021-11-20,GER,54,54,1. Bundesliga,3624444,54,20.11.2021 15:30,9788,4,M'gladbach,Borussia M'Gladbach,,8357,0,Greuther Fürth,Greuther Fürth,,,6,12,TRUE,TRUE,FALSE,4 - 0,"Nov 20, 2021",20. Nov.,FT,Full-Time,,,,1637397000000,,20,100,FALSE,,,,
2021-11-20,GER,54,54,1. Bundesliga,3624442,54,20.11.2021 15:30,8226,2,Hoffenheim,TSG Hoffenheim,,178475,0,RB Leipzig,RB Leipzig,,,6,12,TRUE,TRUE,FALSE,2 - 0,"Nov 20, 2021",20. Nov.,FT,Full-Time,,,,1637397000000,,20,100,FALSE,,,,
2021-11-20,GER,54,54,1. Bundesliga,3624445,54,20.11.2021 18:30,8149,2,Union Berlin,Union Berlin,,8177,0,Hertha BSC,Hertha BSC,,,6,12,TRUE,TRUE,FALSE,2 - 0,"Nov 20, 2021",20. Nov.,FT,Full-Time,,,,1637407800000,,20,100,FALSE,,,,
2021-11-21,GER,54,54,1. Bundesliga,3624443,54,21.11.2021 15:30,8358,0,Freiburg,Freiburg,,9810,2,Frankfurt,Eintracht Frankfurt,,,6,12,TRUE,TRUE,FALSE,0 - 2,"Nov 21, 2021",21. Nov.,FT,Full-Time,,,,1637483400000,,20,100,FALSE,,,,
2021-11-21,GER,54,54,1. Bundesliga,3624441,54,21.11.2021 17:30,9905,1,Mainz,Mainz 05,,8722,1,Köln,1. FC Köln,,,6,12,TRUE,TRUE,FALSE,1 - 1,"Nov 21, 2021",21. Nov.,FT,Full-Time,,,,1637490600000,,20,100,FALSE,,,,
2021-11-26,GER,54,54,1. Bundesliga,3624452,54,26.11.2021 20:30,10269,2,VfB Stuttgart,VfB Stuttgart,,9905,1,Mainz,Mainz 05,,,6,13,TRUE,TRUE,FALSE,2 - 1,"Nov 26, 2021",26. Nov.,FT,Full-Time,,,,1637933400000,,20,100,FALSE,,,,
2021-11-27,GER,54,54,1. Bundesliga,3624449,54,27.11.2021 15:30,9911,2,Bochum,Bochum,,8358,1,Freiburg,Freiburg,,,6,13,TRUE,TRUE,FALSE,2 - 1,"Nov 27, 2021",27. Nov.,FT,Full-Time,,,,1638001800000,,20,100,FALSE,,,,
2021-11-27,GER,54,54,1. Bundesliga,3624450,54,27.11.2021 15:30,8722,4,Köln,1. FC Köln,,9788,1,M'gladbach,Borussia M'Gladbach,,,6,13,TRUE,TRUE,FALSE,4 - 1,"Nov 27, 2021",27. Nov.,FT,Full-Time,,,,1638001800000,,20,100,FALSE,,,,
2021-11-27,GER,54,54,1. Bundesliga,3624448,54,27.11.2021 15:30,8357,3,Greuther Fürth,Greuther Fürth,,8226,6,Hoffenheim,TSG Hoffenheim,,,6,13,TRUE,TRUE,FALSE,3 - 6,"Nov 27, 2021",27. Nov.,FT,Full-Time,,,,1638001800000,,20,100,FALSE,,,,
2021-11-27,GER,54,54,1. Bundesliga,3624451,54,27.11.2021 15:30,8177,1,Hertha BSC,Hertha BSC,,8406,1,Augsburg,Augsburg,,,6,13,TRUE,TRUE,FALSE,1 - 1,"Nov 27, 2021",27. Nov.,FT,Full-Time,,,,1638001800000,,20,100,FALSE,,,,
2021-11-27,GER,54,54,1. Bundesliga,3624454,54,27.11.2021 15:30,8721,1,Wolfsburg,Wolfsburg,,9789,3,Dortmund,Borussia Dortmund,,,6,13,TRUE,TRUE,FALSE,1 - 3,"Nov 27, 2021",27. Nov.,FT,Full-Time,,,,1638001800000,,20,100,FALSE,,,,
2021-11-27,GER,54,54,1. Bundesliga,3624456,54,27.11.2021 18:30,9823,1,Bayern München,Bayern München,,9912,0,Arminia Bielefeld,Arminia Bielefeld,,,6,13,TRUE,TRUE,FALSE,1 - 0,"Nov 27, 2021",27. Nov.,FT,Full-Time,,,,1638012600000,,20,100,FALSE,,,,
2021-11-28,GER,54,54,1. Bundesliga,3624453,54,28.11.2021 15:30,9810,2,Frankfurt,Eintracht Frankfurt,,8149,1,Union Berlin,Union Berlin,,,6,13,TRUE,TRUE,FALSE,2 - 1,"Nov 28, 2021",28. Nov.,FT,Full-Time,,,,1638088200000,,20,100,FALSE,,,,
2021-11-28,GER,54,54,1. Bundesliga,3624455,54,28.11.2021 17:30,178475,1,RB Leipzig,RB Leipzig,,8178,3,Leverkusen,Bayer Leverkusen,,,6,13,TRUE,TRUE,FALSE,1 - 3,"Nov 28, 2021",28. Nov.,FT,Full-Time,,,,1638095400000,,20,100,FALSE,,,,
2021-12-03,GER,54,54,1. Bundesliga,3624463,54,03.12.2021 20:30,8149,2,Union Berlin,Union Berlin,,178475,1,RB Leipzig,RB Leipzig,,,6,14,TRUE,TRUE,FALSE,2 - 1,"Dec 3, 2021",3. Dec.,FT,Full-Time,,,,1638538200000,,20,100,FALSE,,,,
2021-12-04,GER,54,54,1. Bundesliga,3624457,54,04.12.2021 15:30,9912,1,Arminia Bielefeld,Arminia Bielefeld,,8722,1,Köln,1. FC Köln,,,6,14,TRUE,TRUE,FALSE,1 - 1,"Dec 4, 2021",4. Dec.,FT,Full-Time,,,,1638606600000,,20,100,FALSE,,,,
2021-12-04,GER,54,54,1. Bundesliga,3624458,54,04.12.2021 15:30,8406,2,Augsburg,Augsburg,,9911,3,Bochum,Bochum,,,6,14,TRUE,TRUE,FALSE,2 - 3,"Dec 4, 2021",4. Dec.,FT,Full-Time,,,,1638606600000,,20,100,FALSE,,,,
2021-12-04,GER,54,54,1. Bundesliga,3624464,54,04.12.2021 15:30,8178,7,Leverkusen,Bayer Leverkusen,,8357,1,Greuther Fürth,Greuther Fürth,,,6,14,TRUE,TRUE,FALSE,7 - 1,"Dec 4, 2021",4. Dec.,FT,Full-Time,,,,1638606600000,,20,100,FALSE,,,,
2021-12-04,GER,54,54,1. Bundesliga,3624460,54,04.12.2021 15:30,8226,3,Hoffenheim,TSG Hoffenheim,,9810,2,Frankfurt,Eintracht Frankfurt,,,6,14,TRUE,TRUE,FALSE,3 - 2,"Dec 4, 2021",4. Dec.,FT,Full-Time,,,,1638606600000,,20,100,FALSE,,,,
2021-12-04,GER,54,54,1. Bundesliga,3624459,54,04.12.2021 15:30,9905,3,Mainz,Mainz 05,,8721,0,Wolfsburg,Wolfsburg,,,6,14,TRUE,TRUE,FALSE,3 - 0,"Dec 4, 2021",4. Dec.,FT,Full-Time,,,,1638606600000,,20,100,FALSE,,,,
2021-12-04,GER,54,54,1. Bundesliga,3624465,54,04.12.2021 18:30,9789,2,Dortmund,Borussia Dortmund,,9823,3,Bayern München,Bayern München,,,6,14,TRUE,TRUE,FALSE,2 - 3,"Dec 4, 2021",4. Dec.,FT,Full-Time,,,,1638617400000,,20,100,FALSE,,,,
