date,is_group,group_name,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,away_id,away_score,away_name,away_long_name,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_time_ts,parent_league_id,parent_league_name,internal_rank,live_rank,simple_league,match_tv,home_pen_score,away_pen_score,match_status_awarded,match_status_aggregated_str,matches
2018-01-21,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-01-22,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-01-24,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-01-27,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-01-28,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-03,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-04,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-05,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-09,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-10,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-11,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-17,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-18,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-19,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-24,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-02-25,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
