"competition_type","competition_name","country","gender","governing_body","first_season","last_season","tier","comp_url","seasons","season_end_year","seasons_urls","fixtures_url","is_completed","filter_out"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2008-2009","2009","https://fbref.com/en/comps/19/2008-2009/2008-2009-Europa-League-Stats","https://fbref.com/en/comps/19/2008-2009/schedule/2008-2009-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2007-2008","2008","https://fbref.com/en/comps/19/2007-2008/2007-2008-Europa-League-Stats","https://fbref.com/en/comps/19/2007-2008/schedule/2007-2008-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2006-2007","2007","https://fbref.com/en/comps/19/2006-2007/2006-2007-Europa-League-Stats","https://fbref.com/en/comps/19/2006-2007/schedule/2006-2007-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2005-2006","2006","https://fbref.com/en/comps/19/2005-2006/2005-2006-Europa-League-Stats","https://fbref.com/en/comps/19/2005-2006/schedule/2005-2006-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2004-2005","2005","https://fbref.com/en/comps/19/2004-2005/2004-2005-Europa-League-Stats","https://fbref.com/en/comps/19/2004-2005/schedule/2004-2005-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2003-2004","2004","https://fbref.com/en/comps/19/2003-2004/2003-2004-Europa-League-Stats","https://fbref.com/en/comps/19/2003-2004/schedule/2003-2004-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2002-2003","2003","https://fbref.com/en/comps/19/2002-2003/2002-2003-Europa-League-Stats","https://fbref.com/en/comps/19/2002-2003/schedule/2002-2003-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2001-2002","2002","https://fbref.com/en/comps/19/2001-2002/2001-2002-Europa-League-Stats","https://fbref.com/en/comps/19/2001-2002/schedule/2001-2002-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2000-2001","2001","https://fbref.com/en/comps/19/2000-2001/2000-2001-Europa-League-Stats","https://fbref.com/en/comps/19/2000-2001/schedule/2000-2001-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","1999-2000","2000","https://fbref.com/en/comps/19/1999-2000/1999-2000-Europa-League-Stats","https://fbref.com/en/comps/19/1999-2000/schedule/1999-2000-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","1998-1999","1999","https://fbref.com/en/comps/19/1998-1999/1998-1999-Europa-League-Stats","https://fbref.com/en/comps/19/1998-1999/schedule/1998-1999-Europa-League-Scores-and-Fixtures","TRUE","N"
