"player_name","player_dob","player_url","tm_surname","tm_yob"
"Antonio Di Nardo",1998-09-30,"https://www.transfermarkt.com/antonio-di-nardo/profil/spieler/347656","Nardo",1998
"Antonio Domínguez",1993-04-04,"https://www.transfermarkt.com/antonio-dominguez/profil/spieler/288453","Domínguez",1993
"Antonio Donnarumma",1990-07-07,"https://www.transfermarkt.com/antonio-donnarumma/profil/spieler/88685","Donnarumma",1990
"Antonio Junior Vacca",1990-05-13,"https://www.transfermarkt.com/antonio-junior-vacca/profil/spieler/102984","Vacca",1990
"Antonio Luna",1991-03-17,"https://www.transfermarkt.com/antonio-luna/profil/spieler/126516","Luna",1991
"Antonio Mance",1995-08-07,"https://www.transfermarkt.com/antonio-mance/profil/spieler/225591","Mance",1995
"Antonio Mazzotta",1989-08-02,"https://www.transfermarkt.com/antonio-mazzotta/profil/spieler/61751","Mazzotta",1989
"Antonio Mionic",2001-05-31,"https://www.transfermarkt.com/antonio-mionic/profil/spieler/562259","Mionic",2001
"Antonio Mirante",1983-07-08,"https://www.transfermarkt.com/antonio-mirante/profil/spieler/22141","Mirante",1983
"Antonio Montoro",1997-05-10,"https://www.transfermarkt.com/antonio-montoro/profil/spieler/251880","Montoro",1997
"Antonio Otegui",1998-03-07,"https://www.transfermarkt.com/antonio-otegui/profil/spieler/374082","Otegui",1998
"Antonio Palumbo",1996-08-06,"https://www.transfermarkt.com/antonio-palumbo/profil/spieler/287863","Palumbo",1996
"Antonio Perera",1997-06-08,"https://www.transfermarkt.com/antonio-perera/profil/spieler/483742","Perera",1997
"Antonio Pio Daniele",2002-07-10,"https://www.transfermarkt.com/antonio-pio-daniele/profil/spieler/618502","Daniele",2002
"Antonio Puertas",1992-02-21,"https://www.transfermarkt.com/antonio-puertas/profil/spieler/262365","Puertas",1992
"Antonio Raíllo",1991-10-08,"https://www.transfermarkt.com/antonio-raillo/profil/spieler/278296","Raíllo",1991
"Antonio Raimondo",2004-03-18,"https://www.transfermarkt.com/antonio-raimondo/profil/spieler/818888","Raimondo",2004
"Antonio Ranieri",2003-05-29,"https://www.transfermarkt.com/antonio-ranieri/profil/spieler/672792","Ranieri",2003
"Antonio Romano",1996-03-23,"https://www.transfermarkt.com/antonio-romano/profil/spieler/238989","Romano",1996
"Antonio Rosati",1983-06-26,"https://www.transfermarkt.com/antonio-rosati/profil/spieler/6442","Rosati",1983
"Antonio Rüdiger",1993-03-03,"https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202","Rüdiger",1993
"Antonio Rukavina",1984-01-26,"https://www.transfermarkt.com/antonio-rukavina/profil/spieler/27924","Rukavina",1984
"Antonio Russo",2000-02-01,"https://www.transfermarkt.com/antonio-russo/profil/spieler/541282","Russo",2000
"Antonio Sanabria",1996-03-04,"https://www.transfermarkt.com/antonio-sanabria/profil/spieler/234523","Sanabria",1996
"Antonio Sánchez",1997-04-22,"https://www.transfermarkt.com/antonio-sanchez/profil/spieler/513031","Sánchez",1997
"Antonio Santurro",1992-02-29,"https://www.transfermarkt.com/antonio-santurro/profil/spieler/130388","Santurro",1992
"Antonio Sivera",1996-08-11,"https://www.transfermarkt.com/antonio-sivera/profil/spieler/298197","Sivera",1996
"Antonio Valencia",1985-08-04,"https://www.transfermarkt.com/antonio-valencia/profil/spieler/33544","Valencia",1985
"Antonio Valera",1996-08-17,"https://www.transfermarkt.com/antonio-valera/profil/spieler/290275","Valera",1996
"Antonio Zarzana",2002-03-21,"https://www.transfermarkt.com/antonio-zarzana/profil/spieler/587562","Zarzana",2002
