"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"MLS","Americas","United States",2020,"D.C. United","Kevin Paredes","Left Midfield",2003-05-07,"United States",8e+05,"https://www.transfermarkt.com/kevin-paredes/profil/spieler/711517","Paredes","2003"
"MLS","Americas","United States",2019,"Minnesota United FC","Kevin Partida","Central Midfield",1995-03-10,"United States",125000,"https://www.transfermarkt.com/kevin-partida/profil/spieler/572968","Partida","1995"
"MLS","Americas","United States",2020,"Toronto FC","Kevin Silva","Goalkeeper",1998-01-05,"United States",75000,"https://www.transfermarkt.com/kevin-silva/profil/spieler/351503","Silva","1998"
"MLS","Americas","United States",2021,"Sporting Kansas City","Khiry Shelton","Centre-Forward",1993-06-26,"United States",1e+06,"https://www.transfermarkt.com/khiry-shelton/profil/spieler/354609","Shelton","1993"
"MLS","Americas","United States",2021,"Inter Miami CF","Kieran Gibbs","Left-Back",1989-09-26,"England",1e+06,"https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792","Gibbs","1989"
"MLS","Americas","United States",2021,"D.C. United","Kimarni Smith","Centre-Forward",1998-03-14,"England",75000,"https://www.transfermarkt.com/kimarni-smith/profil/spieler/857312","Smith","1998"
"MLS","Americas","United States",2021,"Austin FC","Kipp Keller","Centre-Back",2000-07-14,"United States",250000,"https://www.transfermarkt.com/kipp-keller/profil/spieler/649399","Keller","2000"
"MLS","Americas","United States",2021,"Charlotte FC","Koa Santos","Right-Back",1999-09-21,"United States",150000,"https://www.transfermarkt.com/koa-santos/profil/spieler/987825","Santos","1999"
"MLS","Americas","United States",2021,"Toronto FC","Kobe Franklin","Right-Back",2003-05-10,"Canada",150000,"https://www.transfermarkt.com/kobe-franklin/profil/spieler/718086","Franklin","2003"
"MLS","Americas","United States",2018,"Colorado Rapids","Kofi Opare","Centre-Back",1990-10-12,"United States",4e+05,"https://www.transfermarkt.com/kofi-opare/profil/spieler/256357","Opare","1990"
"MLS","Americas","United States",2021,"Sporting Kansas City","Kortne Ford","Centre-Back",1996-01-26,"United States",125000,"https://www.transfermarkt.com/kortne-ford/profil/spieler/480719","Ford","1996"
"MLS","Americas","United States",2021,"Toronto FC","Kosi Thompson","Right Midfield",2003-01-27,"Canada",125000,"https://www.transfermarkt.com/kosi-thompson/profil/spieler/893148","Thompson","2003"
"MLS","Americas","United States",2021,"D.C. United","Kristian Fletcher","Left Winger",2005-08-06,"United States",75000,"https://www.transfermarkt.com/kristian-fletcher/profil/spieler/967000","Fletcher","2005"
"MLS","Americas","United States",2021,"Charlotte FC","Kristijan Kahlina","Goalkeeper",1992-07-24,"Croatia",1800000,"https://www.transfermarkt.com/kristijan-kahlina/profil/spieler/133831","Kahlina","1992"
"MLS","Americas","United States",2019,"Columbus Crew","Krisztián Németh","Centre-Forward",1989-01-05,"Hungary",8e+05,"https://www.transfermarkt.com/krisztian-nemeth/profil/spieler/48262","Németh","1989"
"MLS","Americas","United States",2021,"Los Angeles FC","Kwadwo Opoku","Right Winger",2001-07-13,"Ghana",2e+05,"https://www.transfermarkt.com/kwadwo-opoku/profil/spieler/565774","Opoku","2001"
"MLS","Americas","United States",2019,"Houston Dynamo FC","Kyle Adams","Centre-Back",1996-11-20,"New Zealand",2e+05,"https://www.transfermarkt.com/kyle-adams/profil/spieler/562306","Adams","1996"
"MLS","Americas","United States",2019,"Real Salt Lake City","Kyle Beckerman","Defensive Midfield",1982-04-23,"United States",3e+05,"https://www.transfermarkt.com/kyle-beckerman/profil/spieler/26995","Beckerman","1982"
"MLS","Americas","United States",2018,"Real Salt Lake City","Kyle Coffee","Centre-Forward",1995-12-23,"United States",NA,"https://www.transfermarkt.com/kyle-coffee/profil/spieler/636188","Coffee","1995"
"MLS","Americas","United States",2021,"New York Red Bulls","Kyle Duncan","Right-Back",1997-08-08,"United States",1500000,"https://www.transfermarkt.com/kyle-duncan/profil/spieler/349699","Duncan","1997"
"MLS","Americas","United States",2020,"Houston Dynamo FC","Kyle Morton","Goalkeeper",1994-03-31,"United States",175000,"https://www.transfermarkt.com/kyle-morton/profil/spieler/492951","Morton","1994"
"MLS","Americas","United States",2020,"FC Cincinnati","Kyle Scott","Central Midfield",1997-12-22,"United States",50000,"https://www.transfermarkt.com/kyle-scott/profil/spieler/258888","Scott","1997"
"MLS","Americas","United States",2021,"Orlando City SC","Kyle Smith","Right-Back",1992-01-09,"United States",8e+05,"https://www.transfermarkt.com/kyle-smith/profil/spieler/429271","Smith","1992"
"MLS","Americas","United States",2020,"FC Dallas","Kyle Zobeck","Goalkeeper",1990-02-09,"United States",1e+05,"https://www.transfermarkt.com/kyle-zobeck/profil/spieler/261321","Zobeck","1990"
"MLS","Americas","United States",2019,"Atlanta United FC","Lagos Kunga","Right Winger",1998-10-20,"United States",175000,"https://www.transfermarkt.com/lagos-kunga/profil/spieler/471591","Kunga","1998"
"MLS","Americas","United States",2021,"Colorado Rapids","Lalas Abubakar","Centre-Back",1994-12-25,"Ghana",1e+06,"https://www.transfermarkt.com/lalas-abubakar/profil/spieler/482611","Abubakar","1994"
"MLS","Americas","United States",2018,"Los Angeles FC","Lamar Batista","Centre-Back",1998-03-07,"United States",150000,"https://www.transfermarkt.com/lamar-batista/profil/spieler/495882","Batista","1998"
"MLS","Americas","United States",2018,"Orlando City SC","Lamine Sané","Centre-Back",1987-03-22,"Senegal",8e+05,"https://www.transfermarkt.com/lamine-sane/profil/spieler/93758","Sané","1987"
"MLS","Americas","United States",2021,"Portland Timbers","Larrys Mabiala","Centre-Back",1987-10-08,"DR Congo",4e+05,"https://www.transfermarkt.com/larrys-mabiala/profil/spieler/55366","Mabiala","1987"
"MLS","Americas","United States",2018,"Vancouver Whitecaps FC","Lass Bangoura","Right Winger",1992-03-30,"Guinea",7e+05,"https://www.transfermarkt.com/lass-bangoura/profil/spieler/182963","Bangoura","1992"
"MLS","Americas","United States",2021,"CF Montréal","Lassi Lappalainen","Left Winger",1998-08-24,"Finland",8e+05,"https://www.transfermarkt.com/lassi-lappalainen/profil/spieler/322993","Lappalainen","1998"
"MLS","Americas","United States",2021,"Los Angeles FC","Latif Blessing","Attacking Midfield",1996-12-30,"Ghana",3500000,"https://www.transfermarkt.com/latif-blessing/profil/spieler/398238","Blessing","1996"
"MLS","Americas","United States",2019,"Atlanta United FC","Laurence Wyke","Centre-Back",1996-09-20,"England",150000,"https://www.transfermarkt.com/laurence-wyke/profil/spieler/635633","Wyke","1996"
"MLS","Americas","United States",2019,"Toronto FC","Laurent Ciman","Centre-Back",1985-08-05,"Belgium",325000,"https://www.transfermarkt.com/laurent-ciman/profil/spieler/22338","Ciman","1985"
