"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"Eredivisie","Europe","Netherlands",2021,"PEC Zwolle","Gabi Caschili","Defensive Midfield",2003-07-14,"Netherlands",NA,"https://www.transfermarkt.com/gabi-caschili/profil/spieler/648541","Caschili","2003"
"SÃ©rie A","Americas","Brazil",2018,"São Paulo Futebol Clube","Gabiga","Left-Back",1997-09-29,"Brazil",NA,"https://www.transfermarkt.com/gabiga/profil/spieler/631791","Gabiga","1997"
"SÃ©rie A","Americas","Brazil",2019,"Coritiba Foot Ball Club","Gabriel","Right Midfield",1990-01-06,"Brazil",NA,"https://www.transfermarkt.com/gabriel/profil/spieler/174570","Gabriel","1990"
"SÃ©rie A","Americas","Brazil",2021,"Sport Club Corinthians Paulista","Gabriel","Defensive Midfield",1992-07-10,"Brazil",2500000,"https://www.transfermarkt.com/gabriel/profil/spieler/213606","Gabriel","1992"
"SÃ©rie A","Americas","Brazil",2017,"Grêmio Foot-Ball Porto Alegrense","Gabriel","Centre-Back",1989-02-28,"Brazil",NA,"https://www.transfermarkt.com/gabriel/profil/spieler/216071","Gabriel","1989"
"SÃ©rie A","Americas","Brazil",2020,"Clube Atlético Mineiro","Gabriel","Centre-Back",1995-03-14,"Brazil",NA,"https://www.transfermarkt.com/gabriel/profil/spieler/330114","Gabriel","1995"
"SÃ©rie A","Americas","Brazil",2021,"Coritiba Foot Ball Club","Gabriel","Goalkeeper",1992-09-27,"Brazil",1500000,"https://www.transfermarkt.com/gabriel/profil/spieler/79242","Gabriel","1992"
"SÃ©rie A","Americas","Brazil",2021,"Atlético Clube Goianiense","Gabriel","Centre-Back",2004-03-19,"Brazil",NA,"https://www.transfermarkt.com/gabriel/profil/spieler/978212","Gabriel","2004"
"SÃ©rie A","Americas","Brazil",2020,"Grêmio Foot-Ball Porto Alegrense","Gabriel","Left Midfield",2002-07-03,"Brazil",NA,"https://www.transfermarkt.com/gabriel/profil/spieler/983109","Gabriel","2002"
"Liga MX Clausura","Americas","Mexico",2019,"Club Atlético Morelia","Gabriel Achilier","Centre-Back",1985-03-24,"Ecuador",NA,"https://www.transfermarkt.com/gabriel-achilier/profil/spieler/123475","Achilier","1985"
"Championship",NA,"England",2017,"Aston Villa","Gabriel Agbonlahor","Centre-Forward",1986-10-13,"England",1e+06,"https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148","Agbonlahor","1986"
"SÃ©rie A","Americas","Brazil",2021,"Atlético Clube Goianiense","Gabriel Baralhas","Central Midfield",1998-10-10,"Brazil",NA,"https://www.transfermarkt.com/gabriel-baralhas/profil/spieler/552242","Baralhas","1998"
"SÃ©rie A","Americas","Brazil",2021,"Clube de Regatas do Flamengo","Gabriel Barbosa","Centre-Forward",1996-08-30,"Brazil",2.6e+07,"https://www.transfermarkt.com/gabriel-barbosa/profil/spieler/244275","Barbosa","1996"
"SÃ©rie A","Americas","Brazil",2020,"Clube de Regatas do Flamengo","Gabriel Barros","Left Winger",2001-10-25,"Brazil",NA,"https://www.transfermarkt.com/gabriel-barros/profil/spieler/738507","Barros","2001"
"Liga Portugal","Europe","Portugal",2022,"CD Santa Clara","Gabriel Batista","Goalkeeper",1998-06-03,"Brazil",NA,"https://www.transfermarkt.com/gabriel-batista/profil/spieler/401535","Batista","1998"
"SÃ©rie A","Americas","Brazil",2020,"Atlético Clube Goianiense","Gabriel Bernard","Goalkeeper",2000-08-08,"Brazil",NA,"https://www.transfermarkt.com/gabriel-bernard/profil/spieler/738537","Bernard","2000"
"SÃ©rie A","Americas","Brazil",2021,"Sport Club Internacional","Gabriel Boschilia","Attacking Midfield",1996-03-05,"Brazil",3e+06,"https://www.transfermarkt.com/gabriel-boschilia/profil/spieler/288496","Boschilia","1996"
"SÃ©rie A","Americas","Brazil",2018,"Associação Chapecoense de Futebol","Gabriel Calabres","Attacking Midfield",1998-03-08,"Brazil",NA,"https://www.transfermarkt.com/gabriel-calabres/profil/spieler/546294","Calabres","1998"
"SÃ©rie A","Americas","Brazil",2019,"Fluminense Football Club","Gabriel Capixaba","Left Winger",1998-03-05,"Brazil",NA,"https://www.transfermarkt.com/gabriel-capixaba/profil/spieler/614947","Capixaba","1998"
"SÃ©rie A","Americas","Brazil",2021,"Santos FC","Gabriel Carabajal","Attacking Midfield",1991-12-09,"Argentina",NA,"https://www.transfermarkt.com/gabriel-carabajal/profil/spieler/280157","Carabajal","1991"
"SÃ©rie A","Americas","Brazil",2021,"Botafogo de Futebol e Regatas","Gabriel Conceição","Centre-Forward",2001-07-01,"Brazil",NA,"https://www.transfermarkt.com/gabriel-conceicao/profil/spieler/931302","Conceição","2001"
