"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position","comp_name","region","country","season_start_year","squad","player_nationality","player_market_value_euro"
"Leo Gomes","1997","https://fbref.com/en/players/69897e09/Leo-Gomes","Chapecoense","br BRA",1997-02-01,"https://www.transfermarkt.com/madger-gomes/profil/spieler/297661",NA,NA,"Central Midfield","Championship",NA,"England",2017,"Leeds United","Spain",NA
"Leo Gomes","1997","https://fbref.com/en/players/69897e09/Leo-Gomes","Chapecoense","br BRA",1997-09-04,"https://www.transfermarkt.com/rui-gomes/profil/spieler/364403",NA,NA,"Left Winger","Liga Portugal","Europe","Portugal",2022,"Portimonense SC","Portugal",NA
"Léo Silva","2003","https://fbref.com/en/players/0405f7a6/Leo-Silva","São Paulo","br BRA",2003-10-30,"https://www.transfermarkt.com/antonio-silva/profil/spieler/650568",NA,NA,"Centre-Back","Liga Portugal","Europe","Portugal",2022,"SL Benfica","Portugal",1.5e+07
"Léo Silva","2003","https://fbref.com/en/players/0405f7a6/Leo-Silva","São Paulo","br BRA",2003-02-11,"https://www.transfermarkt.com/joel-silva/profil/spieler/929573",NA,NA,"Central Midfield","Liga Portugal","Europe","Portugal",2022,"Boavista FC","Portugal",NA
"Leonardo Borges","2001","https://fbref.com/en/players/6af9484e/Leonardo-Borges","Internacional","br BRA",2001-03-29,"https://www.transfermarkt.com/goncalo-borges/profil/spieler/479649",NA,NA,"Right Winger","Liga Portugal","Europe","Portugal",2022,"FC Porto","Portugal",2e+06
"Leonardo Borges","2001","https://fbref.com/en/players/6af9484e/Leonardo-Borges","Internacional","br BRA",2001-01-03,"https://www.transfermarkt.com/leo-borges/profil/spieler/681692",NA,NA,"Left-Back","SÃ©rie A","Americas","Brazil",2020,"Sport Club Internacional","Brazil",NA
"Leonardo Gomes","1996","https://fbref.com/en/players/91c526e1/Leonardo-Gomes","Grêmio","br BRA",1996-07-19,"https://www.transfermarkt.com/bruno-gomes/profil/spieler/294576",NA,NA,"Centre-Forward","Liga Portugal","Europe","Portugal",2018,"Desportivo Aves (- 2020)","Brazil",NA
"Leonardo Gomes","1996","https://fbref.com/en/players/91c526e1/Leonardo-Gomes","Grêmio","br BRA",1996-06-30,"https://www.transfermarkt.com/leo-gomes/profil/spieler/347016",NA,NA,"Right-Back","SÃ©rie A","Americas","Brazil",2020,"Grêmio Foot-Ball Porto Alegrense","Brazil",1500000
"Lucas Pereira","1998","https://fbref.com/en/players/9edeb121/Lucas-Pereira","Atl Goianiense","br BRA",1998-03-10,"https://www.transfermarkt.com/jorge-pereira/profil/spieler/337805",NA,NA,"Defensive Midfield","Liga Portugal","Europe","Portugal",2020,"FC Famalicão","Portugal",NA
"Lucas Pereira","1998","https://fbref.com/en/players/9edeb121/Lucas-Pereira","Atl Goianiense","br BRA",1998-02-25,"https://www.transfermarkt.com/matheus-pereira/profil/spieler/323934",NA,NA,"Central Midfield","SÃ©rie A","Americas","Brazil",2017,"Paraná Clube","Brazil",NA
"Lucas Pereira","1998","https://fbref.com/en/players/9edeb121/Lucas-Pereira","Atl Goianiense","br BRA",1998-01-22,"https://www.transfermarkt.com/pedro-pereira/profil/spieler/314965",NA,NA,"Right-Back","Championship",NA,"England",2019,"Bristol City","Portugal",1800000
"Luis Antonio Martínez","1987","https://fbref.com/en/players/458c15f7/Luis-Antonio-Martinez","Veracruz","mx MEX",1987-02-22,"https://www.transfermarkt.com/joaquin-martinez/profil/spieler/58586",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2022,"CD Cruz Azul","Mexico",NA
"Luis Antonio Martínez","1987","https://fbref.com/en/players/458c15f7/Luis-Antonio-Martinez","Veracruz","mx MEX",1987-04-29,"https://www.transfermarkt.com/luis-martinez/profil/spieler/44921",NA,NA,"Defensive Midfield","Liga MX Apertura","Americas","Mexico",2019,"Tiburones Rojos de Veracruz","Mexico",NA
"Luis Donaldo Hernández","1998","https://fbref.com/en/players/8fc40c11/Luis-Donaldo-Hernandez","FC Juárez","mx MEX",1998-02-16,"https://www.transfermarkt.com/diego-hernandez/profil/spieler/557071",NA,NA,"Centre-Back","Liga MX Clausura","Americas","Mexico",2017,"Club Necaxa","Mexico",NA
"Luis Donaldo Hernández","1998","https://fbref.com/en/players/8fc40c11/Luis-Donaldo-Hernandez","FC Juárez","mx MEX",1998-03-17,"https://www.transfermarkt.com/jose-hernandez/profil/spieler/554037",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2019,"Club León FC","Mexico",NA
"Luis Donaldo Hernández","1998","https://fbref.com/en/players/8fc40c11/Luis-Donaldo-Hernandez","FC Juárez","mx MEX",1998-02-02,"https://www.transfermarkt.com/luis-hernandez/profil/spieler/427072",NA,NA,"Centre-Back","Liga MX Clausura","Americas","Mexico",2020,"FC Juárez","Mexico",NA
"Luis Donaldo Hernández","1998","https://fbref.com/en/players/8fc40c11/Luis-Donaldo-Hernandez","FC Juárez","mx MEX",1998-01-18,"https://www.transfermarkt.com/nicolas-hernandez/profil/spieler/643750",NA,NA,"Centre-Back","SÃ©rie A","Americas","Brazil",2021,"Club Athletico Paranaense","Colombia",NA
"Luis Eduardo Marques dos Santos","1997","https://fbref.com/en/players/5c5a0d4d/Luis-Eduardo-Marques-dos-Santos","Atl Goianiense","br BRA",1997-07-27,"https://www.transfermarkt.com/marcelo-dos-santos/profil/spieler/697818",NA,NA,"Centre-Forward","Liga Portugal","Europe","Portugal",2021,"Gil Vicente FC","Brazil",NA
"Luis Eduardo Marques dos Santos","1997","https://fbref.com/en/players/5c5a0d4d/Luis-Eduardo-Marques-dos-Santos","Atl Goianiense","br BRA",1997-02-14,"https://www.transfermarkt.com/rafa-santos/profil/spieler/596204",NA,NA,"Attacking Midfield","Liga Portugal","Europe","Portugal",2021,"B SAD","Portugal",NA
"Luis Gómez","1999","https://fbref.com/en/players/e41c025a/Luis-Gomez","Santa Clara","co COL",1999-07-06,"https://www.transfermarkt.com/josue-gomez/profil/spieler/745922",NA,NA,"Left Winger","Liga MX Clausura","Americas","Mexico",2020,"CF Pachuca","Mexico",NA
"Luis Gómez","1999","https://fbref.com/en/players/e41c025a/Luis-Gomez","Santa Clara","co COL",1999-10-11,"https://www.transfermarkt.com/pipe-gomez/profil/spieler/627097",NA,NA,"Centre-Forward","Liga Portugal","Europe","Portugal",2021,"CD Santa Clara","Colombia",NA
"Luis Manuel García","1992","https://fbref.com/en/players/d04f5f73/Luis-Manuel-Garcia","Toluca","mx MEX",1992-01-17,"https://www.transfermarkt.com/jose-antonio-garcia/profil/spieler/121208",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2017,"UNAM Pumas","Mexico",NA
"Luis Manuel García","1992","https://fbref.com/en/players/d04f5f73/Luis-Manuel-Garcia","Toluca","mx MEX",1992-12-31,"https://www.transfermarkt.com/luis-garcia/profil/spieler/236710",NA,NA,"Goalkeeper","Liga MX Clausura","Americas","Mexico",2022,"Deportivo Toluca","Mexico",NA
