Player,Born,Url,player_url
Branislav Niňaj,1994,https://fbref.com/en/players/6c7dd5e0/Branislav-Ninaj,https://www.transfermarkt.com/branislav-ninaj/profil/spieler/260979
Brayan Angulo Mosquera,1993,https://fbref.com/en/players/b661e058/Brayan-Angulo-Mosquera,https://www.transfermarkt.com/andres-mosquera/profil/spieler/74421
Brayan Lucumi,1994,https://fbref.com/en/players/985b47d4/Brayan-Lucumi,https://www.transfermarkt.com/brayan-lucumi/profil/spieler/262932
Brendan Sarpong-Wiredu,1999,https://fbref.com/en/players/1f33ceed/Brendan-Sarpong-Wiredu,https://www.transfermarkt.com/brendan-wiredu/profil/spieler/608180
Brenner Marlos,1994,https://fbref.com/en/players/77bc33b7/Brenner-Marlos,https://www.transfermarkt.com/brenner/profil/spieler/435046
Breno,1996,https://fbref.com/en/players/e0016d00/Breno,https://www.transfermarkt.com/breno-lopes/profil/spieler/542598
Breno Borges,1989,https://fbref.com/en/players/904b0bd9/Breno-Borges,https://www.transfermarkt.com/breno/profil/spieler/52947
Brent Vugts,2002,https://fbref.com/en/players/f7607cf7/Brent-Vugts,https://www.transfermarkt.com/brent-vugts/profil/spieler/618050
Brodie Gilmore,2004,https://fbref.com/en/players/4fb40948/Brodie-Gilmore,https://www.transfermarkt.com/brodie-spencer/profil/spieler/701011
Bruce El-Mesmari,2002,https://fbref.com/en/players/7eb6f451/Bruce-El-Mesmari,https://www.transfermarkt.com/bruce-el-mesmari/profil/spieler/703843
Bruno,2003,https://fbref.com/en/players/ad8c3404/Bruno,https://www.transfermarkt.com/bruninho/profil/spieler/668234
Bruno Brigido,1991,https://fbref.com/en/players/5ccca624/Bruno-Brigido,https://www.transfermarkt.com/bruno-brigido/profil/spieler/178942
Bruno Messi,1996,https://fbref.com/en/players/650f01e0/Bruno-Messi,https://www.transfermarkt.com/bruno-almeida/profil/spieler/393581
Bruno Nascimento,1997,https://fbref.com/en/players/46411d56/Bruno-Nascimento,https://www.transfermarkt.com/bruno-rodrigues/profil/spieler/406766
Bruno Pires,1992,https://fbref.com/en/players/843bfc59/Bruno-Pires,https://www.transfermarkt.com/bruno-pirri/profil/spieler/190705
