"player_name","player_dob","player_url","player_position","tm_surname","tm_yob"
"András Schäfer",1999-04-13,"https://www.transfermarkt.com/andras-schafer/profil/spieler/454863","Central Midfield","Schäfer",1999
"André Almeida",2000-05-30,"https://www.transfermarkt.com/andre-almeida/profil/spieler/375382","Central Midfield","Almeida",2000
"André Ayew",1989-12-17,"https://www.transfermarkt.com/andre-ayew/profil/spieler/45403","Left Winger","Ayew",1989
"André Gomes",1993-07-30,"https://www.transfermarkt.com/andre-gomes/profil/spieler/221025","Central Midfield","Gomes",1993
"André Hahn",1990-08-13,"https://www.transfermarkt.com/andre-hahn/profil/spieler/42783","Right Winger","Hahn",1990
"André Onana",1996-04-02,"https://www.transfermarkt.com/andre-onana/profil/spieler/234509","Goalkeeper","Onana",1996
"André Silva",1995-11-06,"https://www.transfermarkt.com/andre-silva/profil/spieler/198008","Centre-Forward","Silva",1995
"Andrea Barberis",1993-12-11,"https://www.transfermarkt.com/andrea-barberis/profil/spieler/146680","Defensive Midfield","Barberis",1993
"Andrea Belotti",1993-12-20,"https://www.transfermarkt.com/andrea-belotti/profil/spieler/167727","Centre-Forward","Belotti",1993
"Andrea Cambiaso",2000-02-20,"https://www.transfermarkt.com/andrea-cambiaso/profil/spieler/459658","Left-Back","Cambiaso",2000
"Andrea Colpani",1999-05-11,"https://www.transfermarkt.com/andrea-colpani/profil/spieler/392959","Central Midfield","Colpani",1999
"Andrea Consigli",1987-01-27,"https://www.transfermarkt.com/andrea-consigli/profil/spieler/35865","Goalkeeper","Consigli",1987
"Andrea Conti",1994-03-02,"https://www.transfermarkt.com/andrea-conti/profil/spieler/111227","Right-Back","Conti",1994
"Andrea Petagna",1995-06-30,"https://www.transfermarkt.com/andrea-petagna/profil/spieler/199258","Centre-Forward","Petagna",1995
"Andrea Pinamonti",1999-05-19,"https://www.transfermarkt.com/andrea-pinamonti/profil/spieler/315865","Centre-Forward","Pinamonti",1999
"Andreas Bruus",1999-01-16,"https://www.transfermarkt.com/andreas-bruus/profil/spieler/345748","Right-Back","Bruus",1999
"Andreas Christensen",1996-04-10,"https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948","Centre-Back","Christensen",1996
"Andreas Hanche-Olsen",1997-01-17,"https://www.transfermarkt.com/andreas-hanche-olsen/profil/spieler/370683","Centre-Back","Hanche-Olsen",1997
"Andreas Pereira",1996-01-01,"https://www.transfermarkt.com/andreas-pereira/profil/spieler/203394","Attacking Midfield","Pereira",1996
"Andreaw Gravillon",1998-02-08,"https://www.transfermarkt.com/andreaw-gravillon/profil/spieler/395083","Centre-Back","Gravillon",1998
"Andrei Girotto",1992-02-17,"https://www.transfermarkt.com/andrei-girotto/profil/spieler/270051","Centre-Back","Girotto",1992
"Andrej Kramaric",1991-06-19,"https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580","Centre-Forward","Kramaric",1991
"Andrés Guardado",1986-09-28,"https://www.transfermarkt.com/andres-guardado/profil/spieler/20506","Central Midfield","Guardado",1986
"Andrés Martín",1999-07-11,"https://www.transfermarkt.com/andres-martin/profil/spieler/531277","Centre-Forward","Martín",1999
"Andrew Robertson",1994-03-11,"https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803","Left-Back","Robertson",1994
"Andrey Lunev",1991-11-13,"https://www.transfermarkt.com/andrey-lunev/profil/spieler/112541","Goalkeeper","Lunev",1991
"Andriy Lunin",1999-02-11,"https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839","Goalkeeper","Lunin",1999
"Andros Townsend",1991-07-16,"https://www.transfermarkt.com/andros-townsend/profil/spieler/61842","Right Winger","Townsend",1991
"Andy Delort",1991-10-09,"https://www.transfermarkt.com/andy-delort/profil/spieler/122797","Centre-Forward","Delort",1991
"Andy Lonergan",1983-10-19,"https://www.transfermarkt.com/andy-lonergan/profil/spieler/14044","Goalkeeper","Lonergan",1983
"Ángel Algobia",1999-06-23,"https://www.transfermarkt.com/angel-algobia/profil/spieler/638589","Defensive Midfield","Algobia",1999
"Ángel Correa",1995-03-09,"https://www.transfermarkt.com/angel-correa/profil/spieler/266807","Right Winger","Correa",1995
"Ángel Di María",1988-02-14,"https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320","Right Winger","María",1988
"Angel Gomes",2000-08-31,"https://www.transfermarkt.com/angel-gomes/profil/spieler/392770","Attacking Midfield","Gomes",2000
"Ángel Rodríguez",1987-04-26,"https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510","Centre-Forward","Rodríguez",1987
"Angeliño",1997-01-04,"https://www.transfermarkt.com/angelino/profil/spieler/277179","Left-Back","Angeliño",1997
"Angelo Fulgini",1996-08-20,"https://www.transfermarkt.com/angelo-fulgini/profil/spieler/250013","Attacking Midfield","Fulgini",1996
"Angelo Ogbonna",1988-05-23,"https://www.transfermarkt.com/angelo-ogbonna/profil/spieler/48002","Centre-Back","Ogbonna",1988
"Angelo Stiller",2001-04-04,"https://www.transfermarkt.com/angelo-stiller/profil/spieler/443710","Defensive Midfield","Stiller",2001
"Ansgar Knauff",2002-01-10,"https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874","Right Winger","Knauff",2002
"Ansu Fati",2002-10-31,"https://www.transfermarkt.com/ansu-fati/profil/spieler/466810","Left Winger","Fati",2002
"Ante Budimir",1991-07-22,"https://www.transfermarkt.com/ante-budimir/profil/spieler/46413","Centre-Forward","Budimir",1991
"Ante Coric",1997-04-14,"https://www.transfermarkt.com/ante-coric/profil/spieler/96630","Attacking Midfield","Coric",1997
