"country","country_url","league_name","league_url","has_leage_page"
"Netherlands","https://fbref.com/en/country/NED/Netherlands-Football","Dutch Eredivisie (M),
Eredivisie Vrouwen (F),
Dutch Eerste Divisie (M)","https://fbref.com/en/comps/23/history/Eredevisie-Seasons,
https://fbref.com/en/comps/195/history/Eredivisie-Vrouwen-Seasons,
https://fbref.com/en/comps/51/history/Eerste-Divisie-Seasons",TRUE
"New Caledonia","https://fbref.com/en/country/NCL/New-Caledonia-Football",NA,NA,FALSE
"New Zealand","https://fbref.com/en/country/NZL/New-Zealand-Football",NA,NA,FALSE
"Nicaragua","https://fbref.com/en/country/NCA/Nicaragua-Football",NA,NA,FALSE
"Niger","https://fbref.com/en/country/NIG/Niger-Football",NA,NA,FALSE
"Nigeria","https://fbref.com/en/country/NGA/Nigeria-Football",NA,NA,FALSE
"North Korea","https://fbref.com/en/country/PRK/Korea-DPR-Football",NA,NA,FALSE
"North Macedonia","https://fbref.com/en/country/MKD/Macedonia-Football",NA,NA,FALSE
"Northern Ireland","https://fbref.com/en/country/NIR/Northern-Ireland-Football",NA,NA,FALSE
"Norway","https://fbref.com/en/country/NOR/Norway-Football","Eliteserien (M),
Toppserien (F)","https://fbref.com/en/comps/28/history/Eliteserien-Seasons,
https://fbref.com/en/comps/185/history/Toppserien-Seasons",TRUE
"Oman","https://fbref.com/en/country/OMA/Oman-Football",NA,NA,FALSE
"Pakistan","https://fbref.com/en/country/PAK/Pakistan-Football",NA,NA,FALSE
"Palestine","https://fbref.com/en/country/PLE/Palestine-Football",NA,NA,FALSE
"Panama","https://fbref.com/en/country/PAN/Panama-Football",NA,NA,FALSE
"Papua New Guinea","https://fbref.com/en/country/PNG/Papua-New-Guinea-Football",NA,NA,FALSE
"Paraguay","https://fbref.com/en/country/PAR/Paraguay-Football","Paraguayan Primera División (M)","https://fbref.com/en/comps/61/history/Primera-Division-Seasons",TRUE
"Peru","https://fbref.com/en/country/PER/Peru-Football","Liga 1 de Fútbol Profesional (M)","https://fbref.com/en/comps/44/history/Liga-1-Seasons",TRUE
"Philippines","https://fbref.com/en/country/PHI/Philippines-Football",NA,NA,FALSE
"Poland","https://fbref.com/en/country/POL/Poland-Football","Ekstraklasa (M)","https://fbref.com/en/comps/36/history/Ekstraklasa-Seasons",TRUE
"Portugal","https://fbref.com/en/country/POR/Portugal-Football","Primeira Liga (M)","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons",TRUE
"Puerto Rico","https://fbref.com/en/country/PUR/Puerto-Rico-Football",NA,NA,FALSE
"Qatar","https://fbref.com/en/country/QAT/Qatar-Football",NA,NA,FALSE
"Réunion","https://fbref.com/en/country/REU/Reunion-Football",NA,NA,FALSE
"Romania","https://fbref.com/en/country/ROU/Romania-Football","Liga I (M)","https://fbref.com/en/comps/47/history/Liga-I-Seasons",TRUE
"Russia","https://fbref.com/en/country/RUS/Russia-Football","Russian Premier League (M)","https://fbref.com/en/comps/30/history/Russian-Premier-League-Seasons",TRUE
"Rwanda","https://fbref.com/en/country/RWA/Rwanda-Football",NA,NA,FALSE
"Saint Kitts and Nevis","https://fbref.com/en/country/SKN/Saint-Kitts-and-Nevis-Football",NA,NA,FALSE
"Saint Lucia","https://fbref.com/en/country/LCA/Saint-Lucia-Football",NA,NA,FALSE
"Saint Vincent and the Grenadines","https://fbref.com/en/country/VIN/Saint-Vincent-and-the-Grenadines-Football",NA,NA,FALSE
"Samoa","https://fbref.com/en/country/SAM/Samoa-Football",NA,NA,FALSE
"San Marino","https://fbref.com/en/country/SMR/San-Marino-Football",NA,NA,FALSE
"São Tomé and Príncipe","https://fbref.com/en/country/STP/Sao-Tome-e-Principe-Football",NA,NA,FALSE
"Saudi Arabia","https://fbref.com/en/country/KSA/Saudi-Arabia-Football","Saudi Professional League (M)","https://fbref.com/en/comps/70/history/Pro-League-Seasons",TRUE
"Scotland","https://fbref.com/en/country/SCO/Scotland-Football","Scottish Premiership (M),
Scottish Championship (M)","https://fbref.com/en/comps/40/history/Scottish-Premiership-Seasons,
https://fbref.com/en/comps/72/history/Scottish-Championship-Seasons",TRUE
"Senegal","https://fbref.com/en/country/SEN/Senegal-Football",NA,NA,FALSE
"Serbia","https://fbref.com/en/country/SRB/Serbia-Football","Serbian SuperLiga (M)","https://fbref.com/en/comps/54/history/Serbian-SuperLiga-Seasons",TRUE
"Serbia and Montenegro","https://fbref.com/en/country/SCG/Serbia-and-Montenegro-Football",NA,NA,FALSE
"Seychelles","https://fbref.com/en/country/SEY/Seychelles-Football",NA,NA,FALSE
"Sierra Leone","https://fbref.com/en/country/SLE/Sierra-Leone-Football",NA,NA,FALSE
"Singapore","https://fbref.com/en/country/SIN/Singapore-Football",NA,NA,FALSE
"Slovakia","https://fbref.com/en/country/SVK/Slovakia-Football",NA,NA,FALSE
"Slovenia","https://fbref.com/en/country/SVN/Slovenia-Football",NA,NA,FALSE
"Solomon Islands","https://fbref.com/en/country/SOL/Solomon-Islands-Football",NA,NA,FALSE
"Somalia","https://fbref.com/en/country/SOM/Somalia-Football",NA,NA,FALSE
"South Africa","https://fbref.com/en/country/RSA/South-Africa-Football","South African Premier Division (M)","https://fbref.com/en/comps/52/history/Premier-Division-Seasons",TRUE
"South Korea","https://fbref.com/en/country/KOR/Korea-Republic-Football","K League 1 (M)","https://fbref.com/en/comps/55/history/K-League-1-Seasons",TRUE
"South Sudan","https://fbref.com/en/country/SSD/South-Sudan-Football",NA,NA,FALSE
"Soviet Union","https://fbref.com/en/country/URS/Soviet-Union-Football",NA,NA,FALSE
"Spain","https://fbref.com/en/country/ESP/Spain-Football","La Liga (M),
Segunda División (M),
Copa del Rey (M),
Supercopa de España (M)","https://fbref.com/en/comps/12/history/La-Liga-Seasons,
https://fbref.com/en/comps/17/history/Segunda-Division-Seasons,
https://fbref.com/en/comps/569/history/Copa-del-Rey-Seasons,
https://fbref.com/en/comps/646/history/Supercopa-de-Espana-Seasons",TRUE
"Sri Lanka","https://fbref.com/en/country/SRI/Sri-Lanka-Football",NA,NA,FALSE
"Sudan","https://fbref.com/en/country/SDN/Sudan-Football",NA,NA,FALSE
"Sudan","https://fbref.com/en/country/SUD/Sudan-Football",NA,NA,FALSE
"Suriname","https://fbref.com/en/country/SUR/Suriname-Football",NA,NA,FALSE
"Sweden","https://fbref.com/en/country/SWE/Sweden-Football","Allsvenskan (M),
Damallsvenskan (F),
Superettan (M)","https://fbref.com/en/comps/29/history/Allsvenskan-Seasons,
https://fbref.com/en/comps/187/history/Damallsvenskan-Seasons,
https://fbref.com/en/comps/48/history/Superettan-Seasons",TRUE
"Switzerland","https://fbref.com/en/country/SUI/Switzerland-Football","Super League (M)","https://fbref.com/en/comps/57/history/Super-League-Seasons",TRUE
"Syria","https://fbref.com/en/country/SYR/Syria-Football",NA,NA,FALSE
"Tahiti","https://fbref.com/en/country/TAH/Tahiti-Football",NA,NA,FALSE
"Taiwan","https://fbref.com/en/country/TPE/Chinese-Taipei-Football",NA,NA,FALSE
"Tajikistan","https://fbref.com/en/country/TJK/Tajikistan-Football",NA,NA,FALSE
"Tanzania","https://fbref.com/en/country/TAN/Tanzania-Football",NA,NA,FALSE
"Thailand","https://fbref.com/en/country/THA/Thailand-Football",NA,NA,FALSE
"The Bahamas","https://fbref.com/en/country/BAH/Bahamas-Football",NA,NA,FALSE
"Togo","https://fbref.com/en/country/TOG/Togo-Football",NA,NA,FALSE
"Tonga","https://fbref.com/en/country/TGA/Tonga-Football",NA,NA,FALSE
"Trinidad and Tobago","https://fbref.com/en/country/TRI/Trinidad-and-Tobago-Football",NA,NA,FALSE
"Tunisia","https://fbref.com/en/country/TUN/Tunisia-Football",NA,NA,FALSE
"Turkey","https://fbref.com/en/country/TUR/Turkey-Football","Süper Lig (M)","https://fbref.com/en/comps/26/history/Super-Lig-Seasons",TRUE
"Turkmenistan","https://fbref.com/en/country/TKM/Turkmenistan-Football",NA,NA,FALSE
"Turks and Caicos Islands","https://fbref.com/en/country/TCA/Turks-and-Caicos-Islands-Football",NA,NA,FALSE
"Uganda","https://fbref.com/en/country/UGA/Uganda-Football",NA,NA,FALSE
"Ukraine","https://fbref.com/en/country/UKR/Ukraine-Football","Ukrainian Premier League (M)","https://fbref.com/en/comps/39/history/Ukrainian-Premier-League-Seasons",TRUE
"United Arab Emirates","https://fbref.com/en/country/UAE/United-Arab-Emirates-Football",NA,NA,FALSE
"United States","https://fbref.com/en/country/USA/United-States-Football","Major League Soccer (M),
National Women's Soccer League (F),
USL First Division (M),
USSF Division 2 Professional League (M),
North American Soccer League (M),
USL Championship (M),
USL League One (M),
NWSL Challenge Cup (F),
NWSL Fall Series (F)","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons,
https://fbref.com/en/comps/182/history/NWSL-Seasons,
https://fbref.com/en/comps/68/history/USL-D-1-Seasons,
https://fbref.com/en/comps/79/history/D2-Pro-League-Seasons,
https://fbref.com/en/comps/76/history/NASL-Seasons,
https://fbref.com/en/comps/73/history/USL-Championship-Seasons,
https://fbref.com/en/comps/137/history/USL-League-One-Seasons,
https://fbref.com/en/comps/881/history/NWSL-Challenge-Cup-Seasons,
https://fbref.com/en/comps/884/history/NWSL-Fall-Series-Seasons",TRUE
"Uruguay","https://fbref.com/en/country/URU/Uruguay-Football","Uruguayan Primera División (M)","https://fbref.com/en/comps/45/history/Primera-Division-Seasons",TRUE
"US Virgin Islands","https://fbref.com/en/country/VIR/US-Virgin-Islands-Football",NA,NA,FALSE
"Uzbekistan","https://fbref.com/en/country/UZB/Uzbekistan-Football",NA,NA,FALSE
"Vanuatu","https://fbref.com/en/country/VAN/Vanuatu-Football",NA,NA,FALSE
"Venezuela","https://fbref.com/en/country/VEN/Venezuela-Football","Venezuelan Primera División (M)","https://fbref.com/en/comps/105/history/Liga-FUTVE-Seasons",TRUE
"Vietnam","https://fbref.com/en/country/VIE/Vietnam-Football",NA,NA,FALSE
"Wales","https://fbref.com/en/country/WAL/Wales-Football",NA,NA,FALSE
"Yemen","https://fbref.com/en/country/YEM/Yemen-Football",NA,NA,FALSE
"Yugoslavia","https://fbref.com/en/country/YUG/Yugoslavia-Football",NA,NA,FALSE
"Zambia","https://fbref.com/en/country/ZAM/Zambia-Football",NA,NA,FALSE
"Zanzibar","https://fbref.com/en/country/ZAN/Zanzibar-Football",NA,NA,FALSE
"Zimbabwe","https://fbref.com/en/country/ZIM/Zimbabwe-Football",NA,NA,FALSE
